    JOBID     USER PARTITION     NAME ST   START_TIME     END_TIME TIME_LEFT  NODES NODELIST(REASON)  PRIORITY
  1490256 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490257 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490258 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490259 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490260 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490261 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490262 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490263 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490264 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490265 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490266 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490267 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490268 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490269 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490270 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490271 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490272 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490273 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490274 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490275 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490276 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490277 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490278 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490279 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490280 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490281 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490282 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490283 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490284 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490285 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490286 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490287 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490288 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490289 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490290 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490291 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490292 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490293 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490294 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490295 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490296 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490297 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490298 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490299 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490300 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490301 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490302 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490303 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490304 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490305 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490306 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
